fish_id,treatment,exposure,battery,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
1BT01h01001,1,1h,BT1,0.8148418317579946,-1.6604149902281087,-1.0663246641667512,0.3259600691738453,-1.0446782623328361,0.47654908851683003,-1.1884244103013692,-0.11031946274661986,-1.1970898060928021,9.369716665050785e-5,1.651377258845049,-0.18963858539120532,-0.1963970673066589
1BT01h01002,1,1h,BT1,0.9943662441424367,-2.6213195783045413,0.5446528809322491,1.1450956883353385,4.849451949785967,-1.47987782470235,0.596715369238593,-2.474498383465267,-0.021906461615032957,-0.394808624709147,-0.48809553108742354,0.12339416240169548,0.274160645484146
1BT01h01003,1,1h,BT1,-0.11261539409659424,0.4288343714993905,-0.19767037238686433,0.5024422856875356,-0.05924726769937208,-0.94152354667691,1.2232480427367094,-0.16372389089203043,0.1962477706032485,0.5522134318502311,0.05661994382685086,0.2987880069158051,-0.02825722975889706
1BT01h01004,1,1h,BT1,1.7952630650623214,0.5398620980541199,-0.044259825474088355,1.3402524828186069,1.6923625698599545,0.7222118709709617,-1.0906055927829221,1.6803131943690583,-2.355570015591578,1.109343627739657,-0.04616762253313852,0.3103884735766895,0.0507707121416765
1BT01h01005,1,1h,BT1,-3.5488433775772377,1.057462758281004,0.14005144259797483,1.3359590698662425,0.8394825447301695,-0.8329611249683204,-0.816821449625788,-0.6606750749635534,0.04130726677848051,-1.4784499099066883,0.46961164354930107,-0.1523180806000658,-0.5629275760025
1BT01h01006,1,1h,BT1,1.2952741638491772,-0.48813254273367435,0.1519198016255881,-1.6252349271181497,0.7469039564341398,-0.11633395685960973,0.47352624155079714,0.8824792617282604,0.4238883175683418,0.018415246421783493,0.8341204059210697,-0.8259262568929054,0.13495371142387272
1BT01h01007,1,1h,BT1,0.0740848805758466,1.5686745415112253,-0.18022048732897505,1.5684650088250565,1.836975428080314,-0.5824404809915551,-0.6750457638684116,-0.07184124806724178,0.7982426755988871,1.4119314433342858,1.1539766941162481,-0.032035330473091386,-0.04735733723012302
1BT01h01008,1,1h,BT1,-0.8178086467322141,-0.6514277807594233,1.1594831875028853,0.345638321222696,0.5050308460341933,0.17125351963180369,0.943935242073751,0.4509731789948701,1.075508706830345,1.4139062185812683,0.5288663480903464,0.4535444645470002,-0.00776617548262204
1BT01h01009,1,1h,BT1,2.686277952816664,0.46470544782447787,1.1691297856576617,0.49791496224212545,0.3081633492197806,0.8710172894396295,-1.0499506851192981,0.8401115438773974,0.8158186051282539,-1.1130930611092884,-0.386979094448969,0.044901024051400736,0.2191616195201973
1BT01h01010,1,1h,BT1,3.8190968311366777,1.109250622376152,2.7879868389326874,1.2999603119010246,0.13972465233781703,0.09092273175035248,-0.08358627199695164,1.8066786170883906,0.03429383077489925,-2.210117295163832,-2.2365708209170054,-0.4122602737853084,0.17366060450620963
