"endpoint","domain","source_test","data_type","endpoint_type","comparison","dataset_a","dataset_b","treatment","exposure","n_a","n_b","mean_difference_b_minus_a","median_difference_b_minus_a","hedges_g","rank_biserial","cliffs_delta","risk_difference_b_minus_a","odds_ratio_b_vs_a","feasibility_note"
"mov_total","NTT locomotion","NTT","continuous derived","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0.5","96h",16,16,-14.6875,-10,-0.719833260207245,-0.37109375,-0.37109375,NA,NA,"tested"
"mov_total","NTT locomotion","NTT","continuous derived","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","1h",16,16,-107.25,-143,-0.753169107933794,-0.63671875,-0.63671875,NA,NA,"tested"
"mov_total","NTT locomotion","NTT","continuous derived","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","24h",14,12,-94.297619047619,-45,-0.83813475035965,-0.244047619047619,-0.244047619047619,NA,NA,"tested"
"mov_total","NTT locomotion","NTT","continuous derived","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","96h",14,16,11.5357142857143,17.5,0.129931256000459,0.348214285714286,0.348214285714286,NA,NA,"tested"
"mtpc","LDT transition behavior","LDT","continuous derived","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","1h",14,16,38.1122854475394,3.17272727272727,0.424440500815496,0.513392857142857,0.513392857142857,NA,NA,"tested"
"mtpc","LDT transition behavior","LDT","continuous derived","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","24h",15,16,85.6182868511555,5.52363636363637,0.63500770668842,0.558333333333333,0.558333333333333,NA,NA,"tested"
"mtpc","LDT transition behavior","LDT","continuous derived","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","96h",16,16,5.97858438284805,1.02838744588745,0.128662142463619,0.046875,0.046875,NA,NA,"tested"
"mtpc","LDT transition behavior","LDT","continuous derived","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0.5","1h",16,16,33.2874709928933,2.2114705882353,0.359304317087419,0.328125,0.328125,NA,NA,"tested"
"mtpc","LDT transition behavior","LDT","continuous derived","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0.5","24h",15,15,74.1381387858926,29.9909090909091,0.606994164017859,0.288888888888889,0.288888888888889,NA,NA,"tested"
"mtpc","LDT transition behavior","LDT","continuous derived","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0.5","96h",16,16,22.1075543829457,4.69466187611409,0.186966680462637,0.0546875,0.0546875,NA,NA,"tested"
