"battery","treatment","exposure","variable","resolved_variable","n_total","n_nonmissing","n_missing","mean","sd","median","iqr","min","max"
"BT1","0.5","96h","last_flux","last_flux",16,16,0,6.5,2.78088714861523,8,4,1,10
"BT2","0.5","96h","last_flux","last_flux",16,0,16,NA,NA,NA,NA,NA,NA
"BT3","0.5","96h","last_flux","last_flux",16,16,0,4,2.19089023002066,4,4,1,7
"BT1","1","96h","last_flux","last_flux",14,14,0,5,1.61721508012528,4,1.75,3,8
"BT2","1","96h","last_flux","last_flux",16,0,16,NA,NA,NA,NA,NA,NA
"BT3","1","96h","last_flux","last_flux",15,15,0,3.66666666666667,1.79947082168487,4,3,1,6
"BT1","0","1h","latency","latency",14,14,0,25.6428571428571,70.6002910681047,0,0,0,259
"BT2","0","1h","latency","latency",16,16,0,0.5,2,0,0,0,8
"BT3","0","1h","latency","latency",16,0,16,NA,NA,NA,NA,NA,NA
"BT1","0.5","1h","latency","latency",16,16,0,60.3125,127.089322263254,0,70.25,0,480
"BT2","0.5","1h","latency","latency",16,16,0,5.5,18.6868938028769,0,0,0,75
"BT3","0.5","1h","latency","latency",16,0,16,NA,NA,NA,NA,NA,NA
"BT1","1","1h","latency","latency",16,16,0,39.875,86.7278309809871,0,11.75,0,304
"BT2","1","1h","latency","latency",16,16,0,23.6875,89.2216107976836,0,0,0,358
"BT3","1","1h","latency","latency",15,0,15,NA,NA,NA,NA,NA,NA
"BT1","0","24h","latency","latency",15,15,0,13.6,43.7783377613045,0,0,0,170
"BT2","0","24h","latency","latency",16,16,0,0,0,0,0,0,0
"BT3","0","24h","latency","latency",15,0,15,NA,NA,NA,NA,NA,NA
"BT1","0.5","24h","latency","latency",15,15,0,57,119.724684171644,2,15.5,0,363
"BT2","0.5","24h","latency","latency",15,15,0,21.4,73.8490738891539,0,7.5,0,288
"BT3","0.5","24h","latency","latency",14,0,14,NA,NA,NA,NA,NA,NA
"BT1","1","24h","latency","latency",14,14,0,2.42857142857143,4.23745725123498,0,3,0,10
"BT2","1","24h","latency","latency",12,12,0,37.75,118.161772775524,0,0,0,411
"BT3","1","24h","latency","latency",12,0,12,NA,NA,NA,NA,NA,NA
"BT1","0","96h","latency","latency",16,16,0,9.1875,23.9059790289654,0,2.25,0,93
"BT2","0","96h","latency","latency",16,16,0,1.3125,2.91476128239232,0,0,0,9
"BT3","0","96h","latency","latency",16,0,16,NA,NA,NA,NA,NA,NA
"BT1","0.5","96h","latency","latency",16,16,0,28.9375,108.397705234013,0,0,0,435
"BT2","0.5","96h","latency","latency",16,16,0,13.5,45.5763096355991,0,6,0,184
"BT3","0.5","96h","latency","latency",16,0,16,NA,NA,NA,NA,NA,NA
"BT1","1","96h","latency","latency",14,14,0,1.85714285714286,5.11193389353463,0,0,0,18
"BT2","1","96h","latency","latency",16,16,0,35.3125,118.811177223918,0,12.5,0,480
"BT3","1","96h","latency","latency",15,0,15,NA,NA,NA,NA,NA,NA
"BT1","0","1h","length","lt",14,14,0,3.66428571428571,0.292488376776669,3.6,0.45,3.3,4.2
"BT2","0","1h","length","lt",16,15,1,2.85333333333333,0.168466472572297,2.9,0.15,2.5,3.1
"BT3","0","1h","length","lt",16,16,0,3.39375,0.243498802187334,3.4,0.4,3,3.8
"BT1","0.5","1h","length","lt",16,16,0,3.60625,0.214378947971421,3.6,0.325000000000001,3.2,4
"BT2","0.5","1h","length","lt",16,16,0,2.98125,0.219753649950727,2.95,0.325,2.6,3.4
"BT3","0.5","1h","length","lt",16,16,0,3.40625,0.235141801189552,3.4,0.2,3.1,3.9
"BT1","1","1h","length","lt",16,16,0,3.69375,0.191376592090046,3.7,0.25,3.3,4
