endpoint,component,loading,abs_loading,domain,pca_role
mtpc,PC5,-0.19825141424449821,0.19825141424449821,LDT transition behavior,fixed_full_battery_endpoint
dist_total,PC5,0.1922012075954657,0.1922012075954657,NTT locomotion,fixed_full_battery_endpoint
stratum_pref,PC5,-0.1439036392352225,0.1439036392352225,NTT spatial position,fixed_full_battery_endpoint
condition_factor,PC5,0.11326771741320923,0.11326771741320923,Biometry / condition,conditional_condition_factor
blood_sugar,PC5,-0.03775764326270291,0.03775764326270291,Physiology,conditional_supportive_physiology
num_changes,PC5,-0.03445314056901559,0.03445314056901559,LDT transition behavior,fixed_full_battery_endpoint
mov_total,PC5,0.003227264988026328,0.003227264988026328,NTT locomotion,fixed_full_battery_endpoint
blood_sugar,PC6,0.7443728926420868,0.7443728926420868,Physiology,conditional_supportive_physiology
latency,PC6,0.5245193746405267,0.5245193746405267,LDT decision latency,fixed_full_battery_endpoint
stratum_pref,PC6,0.2308807439927818,0.2308807439927818,NTT spatial position,fixed_full_battery_endpoint
condition_factor,PC6,-0.2065473982005899,0.2065473982005899,Biometry / condition,conditional_condition_factor
vel_mean,PC6,-0.15239528731716703,0.15239528731716703,NTT locomotion,fixed_full_battery_endpoint
dist_total,PC6,-0.13342498809596143,0.13342498809596143,NTT locomotion,fixed_full_battery_endpoint
mtpc,PC6,-0.12535445323817307,0.12535445323817307,LDT transition behavior,fixed_full_battery_endpoint
resistance_index,PC6,-0.08914406405647445,0.08914406405647445,Endurance,fixed_full_battery_endpoint
attempts,PC6,-0.06745750889728745,0.06745750889728745,Endurance,fixed_full_battery_endpoint
time_bright,PC6,0.05970260138988211,0.05970260138988211,LDT phototaxis,fixed_full_battery_endpoint
mov_total,PC6,-0.029400277393931824,0.029400277393931824,NTT locomotion,fixed_full_battery_endpoint
num_changes,PC6,0.02482124651443418,0.02482124651443418,LDT transition behavior,fixed_full_battery_endpoint
first_choice_binary,PC6,0.023202064983852164,0.023202064983852164,LDT first choice,fixed_full_battery_endpoint
first_choice_binary,PC7,0.7432269961177312,0.7432269961177312,LDT first choice,fixed_full_battery_endpoint
stratum_pref,PC7,-0.4539749190155351,0.4539749190155351,NTT spatial position,fixed_full_battery_endpoint
latency,PC7,0.3291472476064695,0.3291472476064695,LDT decision latency,fixed_full_battery_endpoint
mtpc,PC7,-0.25859300414877445,0.25859300414877445,LDT transition behavior,fixed_full_battery_endpoint
num_changes,PC7,0.14026323892319728,0.14026323892319728,LDT transition behavior,fixed_full_battery_endpoint
blood_sugar,PC7,-0.1199090817273624,0.1199090817273624,Physiology,conditional_supportive_physiology
attempts,PC7,-0.10392848589001259,0.10392848589001259,Endurance,fixed_full_battery_endpoint
time_bright,PC7,-0.08894032571671856,0.08894032571671856,LDT phototaxis,fixed_full_battery_endpoint
dist_total,PC7,0.06903667344776485,0.06903667344776485,NTT locomotion,fixed_full_battery_endpoint
condition_factor,PC7,0.06414023512627132,0.06414023512627132,Biometry / condition,conditional_condition_factor
vel_mean,PC7,0.04817704584812789,0.04817704584812789,NTT locomotion,fixed_full_battery_endpoint
