fish_id,dist_total,mov_total,vel_mean,stratum_pref,time_bright,first_choice_binary,latency,mtpc,num_changes,resistance_index,attempts,blood_sugar,condition_factor
1BT01h01005,1039.9,89,11.6842696629213,0,106,0,0,26.5,4,34.4,2,155,1.88888888888889
1BT01h01006,6693.2,422,15.860663507109,47.8672985781991,131,1,2,3.85294117647059,34,3.6,1,145,1.27551020408163
1BT01h01007,6643.4,417,15.9314148681055,20.6235011990408,0,0,0,0,0,11.8333333333333,1,223,2.04759826793327
1BT01h01008,4633.3,439,10.5542141230068,0,267,1,0,19.0714285714286,14,1.2,1,240,1.72737895645989
1BT01h01009,8071.1,440,18.3434090909091,45.2272727272727,269,0,0,4.89090909090909,55,31.3333333333333,1,317,1.47695612768957
1BT01h01010,8890.5,445,19.9786516853933,26.9662921348315,306,0,0,2.83333333333333,108,43.2,1,281,1.72208782647915
1BT01h01011,5646.2,440,12.8322727272727,41.5909090909091,142,0,7,3.15555555555556,45,32.2666666666667,1,137,1.36661807580175
1BT01h01012,0,0,0,0,0,0,164,0,0,38.4,1,237,2.34970293041523
1BT01h01013,8715.7,452,19.2825221238938,69.4690265486726,154,0,0,5.13333333333333,30,40.05,1,124,1.81262797489175
1BT01h01014,11405.4,415,27.4828915662651,48.1927710843374,325,1,0,7.06521739130435,46,39,1,279,2.17311082865226
1BT01h01015,5099.1,438,11.6417808219178,33.3333333333333,7,0,0,3.5,2,35.3333333333333,1,93,1.27106482430604
1BT01h01016,7753.44,456,17.0031578947368,32.4561403508772,151,1,304,7.55,20,33.4666666666667,1,181,1.54883381924198
1BT24hCTR01,10820.03,402,26.9154975124378,38.0597014925373,124,1,0,8.26666666666667,15,64.5333333333333,1,146,1.44444444444444
1BT24hCTR02,4774.43,449,10.6334743875278,24.9443207126949,4,0,0,2,2,42.3,1,161,1.88609619090574
1BT24hCTR05,3481.02,454,7.6674449339207,1.76211453744493,164,1,0,10.25,16,67.6,1,120,1.35306900651933
1BT24hCTR06,3315.17,465,7.12939784946237,54.6236559139785,203,1,0,8.12,25,42.6,1,182,1.23006273319939
1BT24hCTR07,3823.83,429,8.91335664335664,27.7389277389277,65,1,0,5,13,36.75,1,211,1.50327988338192
1BT24hCTR09,5539.45,424,13.0647405660377,54.2452830188679,95,1,0,4.75,20,44.25,1,109,1.98140527358634
1BT24hCTR10,3704.72,407,9.10250614250614,1.22850122850123,85,0,170,3.54166666666667,24,30.1333333333333,1,240,1.8310546875
1BT24hCTR11,5009.74,440,11.3857727272727,18.6363636363636,63,0,0,2.42307692307692,26,30.1333333333333,1,72,1.78098921229391
1BT24hCTR12,6066.57,407,14.9055773955774,49.3857493857494,97,0,0,4.40909090909091,22,53.5,1,103,1.73104956268222
1BT24hCTR13,7017.27,419,16.747661097852,30.0715990453461,84,1,0,4.42105263157895,19,51.3333333333333,1,98,1.48148148148148
1BT24hCTR14,6087.33,439,13.8663553530752,49.8861047835991,61,0,25,2.44,25,57.75,1,116,1.6399416909621
1BT24hCTR15,6744.26,417,16.1732853717026,33.3333333333333,103,0,0,6.86666666666667,15,9.26666666666667,1,72,1.82215743440233
1BT24h00501,6997.2,457,15.3111597374179,46.8271334792123,67,0,9,2.57692307692308,26,52.8333333333333,1,126,1.861572265625
1BT24h00502,3593.96,409,8.78718826405868,6.11246943765281,156,1,0,5.57142857142857,28,31.7333333333333,1,95,1.86771137026239
1BT24h00503,3822.48,431,8.86886310904872,48.9559164733179,402,1,0,67,6,42.3,1,165,1.57496316618402
1BT24h00504,3307.47,424,7.80063679245283,28.5377358490566,213,1,6,6.45454545454545,33,42.3,1,61,1.47335263933343
1BT24h00505,5836.91,435,13.418183908046,35.632183908046,183,1,0,6.1,30,42.75,1,94,2.11111111111111
1BT24h00506,4181.51,436,9.59061926605505,48.6238532110092,10,0,11,1.66666666666667,6,38.1,1,180,1.48148148148148
1BT24h00507,5673.48,426,13.3180281690141,54.6948356807512,432,1,0,21.6,20,43.8,1,155,1.48148148148148
1BT24h00508,7710.11,417,18.4894724220623,37.8896882494005,117,1,363,117,0,40.8,1,161,1.62962962962963
1BT24h00509,5972.78,422,14.1535071090047,44.7867298578199,127,0,2,4.09677419354839,31,41.85,1,107,1.27551020408163
1BT24h00510,4219.43,453,9.31441501103753,53.4216335540839,103,0,0,3.32258064516129,31,3.55,1,81,1.59908155315921
1BT24h00511,5086.58,456,11.1547807017544,60.7456140350877,267,1,0,5.93333333333333,45,7.53333333333333,1,113,1.51707737094592
1BT24h00512,4715.66,419,11.2545584725537,11.9331742243437,162,1,318,162,0,34.8,1,131,1.60932944606414
1BT24h00514,5064.8,447,11.3306487695749,35.1230425055928,181,1,126,25.8571428571429,7,51.1666666666667,1,142,1.55807946205256
1BT24h00515,5808.32,446,13.0231390134529,27.8026905829596,179,1,0,5.96666666666667,30,43.5,1,98,1.55200488499898
1BT24h00516,5405.88,443,12.2028893905192,54.176072234763,224,1,20,8.61538461538461,26,43.2,1,72,1.57496316618402
1BT24h01001,5790.51,371,15.6078436657682,12.9380053908356,330,1,0,7.67441860465116,43,6.93333333333333,1,140,1.64379058107997
1BT24h01002,3698.04,367,10.0764032697548,34.8773841961853,241,1,0,16.0666666666667,15,1.3,5,215,1.56160105202597
