variable,component,loading,planned_variable,domain,abs_loading
resistance_index,PC3,-0.2663716124383466,resistance_index,Endurance,0.2663716124383466
stratum_pref,PC3,-0.20707737969704434,stratum_pref,NTT spatial position,0.20707737969704434
time_bright,PC3,0.20297460913472792,time_bright,LDT phototaxis,0.20297460913472792
vel_mean,PC3,-0.1834090250483193,vel_mean,NTT locomotion,0.1834090250483193
Kc,PC3,0.16490737470091926,condition_factor,Biometry/condition,0.16490737470091926
dist_total,PC3,-0.1304092982920593,dist_total,NTT locomotion,0.1304092982920593
attempts,PC3,0.061526560506200575,attempts,Endurance,0.061526560506200575
mov_total,PC3,-0.015305613806604529,mov_total,NTT locomotion,0.015305613806604529
first_choice_binary,PC3,0.007785295788867671,first_choice_binary,LDT first choice,0.007785295788867671
Kc,PC4,0.7113922346721425,condition_factor,Biometry/condition,0.7113922346721425
blood_sugar,PC4,0.3570262047189753,blood_sugar,Physiology,0.3570262047189753
mtpc,PC4,0.2930216976630527,mtpc,LDT transition behavior,0.2930216976630527
vel_mean,PC4,0.2594555014079815,vel_mean,NTT locomotion,0.2594555014079815
stratum_pref,PC4,-0.2332809800136112,stratum_pref,NTT spatial position,0.2332809800136112
resistance_index,PC4,0.2096255424378246,resistance_index,Endurance,0.2096255424378246
mov_total,PC4,-0.2024207109843241,mov_total,NTT locomotion,0.2024207109843241
dist_total,PC4,0.17251972913480415,dist_total,NTT locomotion,0.17251972913480415
time_bright,PC4,0.14804300389048033,time_bright,LDT phototaxis,0.14804300389048033
num_changes,PC4,-0.09348211219990543,num_changes,LDT transition behavior,0.09348211219990543
first_choice_binary,PC4,-0.07789299626882945,first_choice_binary,LDT first choice,0.07789299626882945
latency,PC4,0.07531672457498657,latency,LDT decision latency,0.07531672457498657
attempts,PC4,-0.0421764869875755,attempts,Endurance,0.0421764869875755
resistance_index,PC5,-0.5680253301181051,resistance_index,Endurance,0.5680253301181051
attempts,PC5,0.5472250265565681,attempts,Endurance,0.5472250265565681
time_bright,PC5,-0.2732368055902231,time_bright,LDT phototaxis,0.2732368055902231
latency,PC5,0.25444231916727517,latency,LDT decision latency,0.25444231916727517
vel_mean,PC5,0.25349248810518427,vel_mean,NTT locomotion,0.25349248810518427
first_choice_binary,PC5,-0.24865331892594666,first_choice_binary,LDT first choice,0.24865331892594666
mtpc,PC5,-0.19825141424449821,mtpc,LDT transition behavior,0.19825141424449821
dist_total,PC5,0.1922012075954657,dist_total,NTT locomotion,0.1922012075954657
stratum_pref,PC5,-0.1439036392352225,stratum_pref,NTT spatial position,0.1439036392352225
Kc,PC5,0.11326771741320923,condition_factor,Biometry/condition,0.11326771741320923
blood_sugar,PC5,-0.03775764326270291,blood_sugar,Physiology,0.03775764326270291
num_changes,PC5,-0.03445314056901559,num_changes,LDT transition behavior,0.03445314056901559
mov_total,PC5,0.003227264988026328,mov_total,NTT locomotion,0.003227264988026328
blood_sugar,PC6,0.7443728926420868,blood_sugar,Physiology,0.7443728926420868
latency,PC6,0.5245193746405267,latency,LDT decision latency,0.5245193746405267
stratum_pref,PC6,0.2308807439927818,stratum_pref,NTT spatial position,0.2308807439927818
Kc,PC6,-0.2065473982005899,condition_factor,Biometry/condition,0.2065473982005899
vel_mean,PC6,-0.15239528731716703,vel_mean,NTT locomotion,0.15239528731716703
dist_total,PC6,-0.13342498809596143,dist_total,NTT locomotion,0.13342498809596143
mtpc,PC6,-0.12535445323817307,mtpc,LDT transition behavior,0.12535445323817307
resistance_index,PC6,-0.08914406405647445,resistance_index,Endurance,0.08914406405647445
attempts,PC6,-0.06745750889728745,attempts,Endurance,0.06745750889728745
time_bright,PC6,0.05970260138988211,time_bright,LDT phototaxis,0.05970260138988211
mov_total,PC6,-0.029400277393931824,mov_total,NTT locomotion,0.029400277393931824
num_changes,PC6,0.02482124651443418,num_changes,LDT transition behavior,0.02482124651443418
first_choice_binary,PC6,0.023202064983852164,first_choice_binary,LDT first choice,0.023202064983852164
first_choice_binary,PC7,0.7432269961177312,first_choice_binary,LDT first choice,0.7432269961177312
stratum_pref,PC7,-0.4539749190155351,stratum_pref,NTT spatial position,0.4539749190155351
latency,PC7,0.3291472476064695,latency,LDT decision latency,0.3291472476064695
mtpc,PC7,-0.25859300414877445,mtpc,LDT transition behavior,0.25859300414877445
num_changes,PC7,0.14026323892319728,num_changes,LDT transition behavior,0.14026323892319728
blood_sugar,PC7,-0.1199090817273624,blood_sugar,Physiology,0.1199090817273624
attempts,PC7,-0.10392848589001259,attempts,Endurance,0.10392848589001259
time_bright,PC7,-0.08894032571671856,time_bright,LDT phototaxis,0.08894032571671856
dist_total,PC7,0.06903667344776485,dist_total,NTT locomotion,0.06903667344776485
Kc,PC7,0.06414023512627132,condition_factor,Biometry/condition,0.06414023512627132
vel_mean,PC7,0.04817704584812789,vel_mean,NTT locomotion,0.04817704584812789
mov_total,PC7,0.03999165929077828,mov_total,NTT locomotion,0.03999165929077828
resistance_index,PC7,0.027354786617140914,resistance_index,Endurance,0.027354786617140914
attempts,PC8,-0.5786860469490542,attempts,Endurance,0.5786860469490542
resistance_index,PC8,-0.4594212398213723,resistance_index,Endurance,0.4594212398213723
num_changes,PC8,0.3314745915636826,num_changes,LDT transition behavior,0.3314745915636826
latency,PC8,0.26851023938261304,latency,LDT decision latency,0.26851023938261304
time_bright,PC8,0.24778444333539204,time_bright,LDT phototaxis,0.24778444333539204
blood_sugar,PC8,-0.24103142112067003,blood_sugar,Physiology,0.24103142112067003
