"endpoint","domain","source_test","data_type","endpoint_type","comparison","dataset_a","dataset_b","treatment","exposure","statistic","estimate","ci_low","ci_high","bootstrap_R_requested","bootstrap_R_valid"
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0.5","96h","hedges_g",0.928532952878694,0.285142539942278,1.76932881010267,2000,2000
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0.5","96h","cliffs_delta",0.5234375,0.140625,0.8359375,2000,2000
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","1h","mean_difference_b_minus_a",-1714.499375,-3739.892765625,495.351765625,2000,2000
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","1h","median_difference_b_minus_a",-2295.8,-5504.097875,1021.59849999999,2000,2000
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","1h","hedges_g",-0.524322367782262,-1.46520485283587,0.139854907406872,2000,2000
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","1h","cliffs_delta",-0.328125,-0.7109375,0.0861328124999989,2000,2000
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","24h","mean_difference_b_minus_a",-800.615476190476,-2151.78761309524,491.34225,2000,2000
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","24h","median_difference_b_minus_a",10.0200000000004,-2739.747,1393.015,2000,2000
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","24h","hedges_g",-0.458956614744318,-1.19595632735857,0.261741832191368,2000,2000
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","24h","cliffs_delta",-0.130952380952381,-0.571428571428571,0.345238095238095,2000,2000
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","96h","mean_difference_b_minus_a",-27.8764285714287,-895.486705357143,827.351017857143,2000,2000
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","96h","median_difference_b_minus_a",161.295,-639.852375000001,793.195249999998,2000,2000
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","96h","hedges_g",-0.0211496252462778,-0.614709632397399,0.752493546228054,2000,2000
"dist_total","NTT locomotion","NTT","continuous","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","96h","cliffs_delta",0.107142857142857,-0.3125,0.526785714285714,2000,2000
"first_choice_binary","LDT first choice","LDT","binary","binary","BT1_vs_BT2","BT1","BT2","0","1h","risk_difference_b_minus_a",-0.0982142857142857,-0.419642857142857,0.223214285714286,2000,2000
"first_choice_binary","LDT first choice","LDT","binary","binary","BT1_vs_BT2","BT1","BT2","0","24h","risk_difference_b_minus_a",0.0333333333333333,-0.304166666666667,0.358437499999999,2000,2000
"first_choice_binary","LDT first choice","LDT","binary","binary","BT1_vs_BT2","BT1","BT2","0","96h","risk_difference_b_minus_a",0.375,0.0625,0.625,2000,2000
"first_choice_binary","LDT first choice","LDT","binary","binary","BT1_vs_BT2","BT1","BT2","0.5","1h","risk_difference_b_minus_a",0.2875,-0.0416666666666666,0.6125,2000,2000
"first_choice_binary","LDT first choice","LDT","binary","binary","BT1_vs_BT2","BT1","BT2","0.5","24h","risk_difference_b_minus_a",-0.2,-0.533333333333333,0.133333333333333,2000,2000
"first_choice_binary","LDT first choice","LDT","binary","binary","BT1_vs_BT2","BT1","BT2","0.5","96h","risk_difference_b_minus_a",0.0625,0,0.1875,2000,2000
"first_choice_binary","LDT first choice","LDT","binary","binary","BT1_vs_BT2","BT1","BT2","1","1h","risk_difference_b_minus_a",0.4375,0.125,0.6875,2000,2000
"first_choice_binary","LDT first choice","LDT","binary","binary","BT1_vs_BT2","BT1","BT2","1","24h","risk_difference_b_minus_a",-0.25,-0.5,0,2000,2000
"first_choice_binary","LDT first choice","LDT","binary","binary","BT1_vs_BT2","BT1","BT2","1","96h","risk_difference_b_minus_a",-0.123809523809524,-0.395238095238095,0.152380952380952,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","0","1h","mean_difference_b_minus_a",-1.9375,-3.58080357142857,-0.365848214285716,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","0","1h","median_difference_b_minus_a",-2,-4.5,-0.5,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","0","1h","hedges_g",-0.838762910260323,-1.80630575859496,-0.152340101830083,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","0","1h","cliffs_delta",-0.482142857142857,-0.808147321428571,-0.0758928571428571,2000,2000
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","0","24h","mean_difference_b_minus_a",-2.2,-4.2,-0.0666666666666664,2000,2000
