fish_id,battery_suite,group,date,start_time,treatment,exposure,latency,first_choice,num_changes,time_bright,mtpc,mov_bottom,mov_upper,mov_total,dist_bottom,dist_upper,dist_total,vel_bottom,vel_upper,vel_mean,attempts,last_flux,time_in_last_flux,resistance_index,lt,ls,wt,Kc,sex,blood_sugar,conductivity,pH
1BT24h00501,1,24h_0.5,2020-08-12,10:08:52,0.5,24,9,E,26,67,2.6,243,214,457,3628.2,3369,6997.2,14.93,15.74,15.31,1,10,47,52.83,4,3.2,0.61,0.00186,m,126,110,7.2
1BT24h00502,1,24h_0.5,2020-08-12,10:26:24,0.5,24,0,C,28,156,5.6,384,25,409,3294.35,299.61,3593.96,8.58,11.98,8.79,1,8,28,31.73,3.5,2.8,0.41,0.00187,f,95,110,7.2
1BT24h00503,1,24h_0.5,2020-08-12,10:45:08,0.5,24,0,C,6,402,67,220,211,431,2005.43,1817.05,3822.48,9.12,8.61,8.87,1,9,42,42.3,3.9,2.7,0.31,0.00157,m,165,110,7.2
1BT24h00504,1,24h_0.5,2020-08-12,11:02:39,0.5,24,6,C,33,213,6.5,303,121,424,2166.8,1140.67,3307.47,7.15,9.43,7.8,1,9,42,42.3,3.8,2.7,0.29,0.00147,m,61,110,7.2
1BT24h00505,1,24h_0.5,2020-08-12,11:23:45,0.5,24,0,C,30,183,6.1,280,155,435,3656.64,2180.27,5836.91,13.06,14.07,13.42,1,9,45,42.75,3.9,3,0.57,0.00211,f,94,110,7.2
1BT24h00506,1,24h_0.5,2020-08-12,11:44:44,0.5,24,11,E,6,10,1.7,224,212,436,2057.18,2124.33,4181.51,9.18,10.02,9.59,1,9,14,38.1,3.7,3,0.4,0.00148,f,180,110,7.2
1BT24h00507,1,24h_0.5,2020-08-12,12:09:47,0.5,24,0,C,20,432,21.6,193,233,426,2670.9,3002.58,5673.48,13.84,12.89,13.32,1,9,52,43.8,3.8,3,0.4,0.00148,f,155,110,7.2
1BT24h00508,1,24h_0.5,2020-08-12,12:26:42,0.5,24,363,C,0,117,,259,158,417,4951.99,2758.12,7710.11,19.12,17.46,18.49,1,9,32,40.8,3.7,3,0.44,0.00163,f,161,110,7.2
1BT24h00509,1,24h_0.5,2020-08-12,12:43:34,0.5,24,2,E,31,127,4.1,233,189,422,3350.07,2622.71,5972.78,14.38,13.88,14.15,1,9,39,41.85,3.5,2.8,0.28,0.00128,m,107,110,7.2
1BT24h00510,1,24h_0.5,2020-08-12,13:03:05,0.5,24,0,E,31,103,3.3,211,242,453,1885.65,2333.78,4219.43,8.94,9.64,9.31,1,3,11,3.55,3.6,2.9,0.39,0.0016,m,81,110,7.2
1BT24h00511,1,24h_0.5,2020-08-12,13:21:12,0.5,24,0,C,45,267,5.9,179,277,456,2049.08,3037.5,5086.58,11.45,10.97,11.15,1,4,23,7.53,3.6,2.9,0.37,0.00152,m,113,110,7.2
1BT24h00512,1,24h_0.5,2020-08-12,13:42:52,0.5,24,318,C,0,162,,369,50,419,3878.01,837.65,4715.66,10.51,16.75,11.25,1,8,51,34.8,4.3,3.5,0.69,0.00161,f,131,110,7.2
1BT24h00513,1,24h_0.5,2020-08-12,13:59:52,0.5,24,0,C,,,,,,0,,,0,,,,,,,,3.3,2.7,0.25,0.00127,m,,110,7.2
1BT24h00514,1,24h_0.5,2020-08-12,14:21:51,0.5,24,126,C,7,181,25.9,290,157,447,3103.05,1961.75,5064.8,10.7,12.5,11.33,1,10,37,51.17,3.5,2.9,0.38,0.00156,m,142,110,7.2
1BT24h00515,1,24h_0.5,2020-08-12,14:38:40,0.5,24,0,C,30,179,6,322,124,446,3948.05,1860.27,5808.32,12.26,15,13.02,1,9,50,43.5,4,3.4,0.61,0.00155,f,98,110,7.2
1BT24h00516,1,24h_0.5,2020-08-12,14:54:50,0.5,24,20,C,26,224,8.6,203,240,443,2320.03,3085.85,5405.88,11.43,12.86,12.2,1,9,48,43.2,3.5,2.7,0.31,0.00157,m,72,110,7.2
1BT24h01001,1,24h_1.0,2020-09-29,10:53:54,1.0,24,0,C,43,330,7.7,323,48,371,4549.99,1240.52,5790.51,14.09,25.84,15.61,1,4,14,6.93,3,2.3,0.2,0.00164,f,140,120,7.6
1BT24h01002,1,24h_1.0,2020-09-29,11:10:28,1.0,24,0,C,15,241,16.1,239,128,367,2029.71,1668.33,3698.04,8.49,13.03,10.08,5,2,9,1.3,2.9,2.3,0.19,0.00156,m,215,120,7.6
1BT24h01003,1,24h_1.0,2020-09-29,11:27:59,1.0,24,0,C,24,246,10.3,353,5,358,3461.53,86.82,3548.35,9.81,17.36,9.91,1,7,28,24.27,3,2.4,0.24,0.00174,m,405,120,7.6
1BT24h01004,1,24h_1.0,2020-09-29,11:44:35,1.0,24,0,C,2,435,217.5,280,24,304,3655.28,813.46,4468.74,13.05,33.89,14.7,1,4,45,9,2.9,2.4,0.16,0.00116,,,120,7.6
1BT24h01005,1,24h_1.0,2020-09-29,12:03:50,1.0,24,0,C,29,201,6.9,341,43,384,3834.42,690.86,4525.28,11.24,16.07,11.78,1,2,41,2.37,3,2.5,0.2,0.00128,f,179,120,7.6
