source_row_index,fish_id,battery_suite,battery,group_raw,group,treatment,exposure,date_raw,start_time_raw,datetime_raw,datetime,datetime_parse_method,datetime_parse_failed_flag,first_choice_raw,first_choice,first_choice_clean,first_choice_binary,first_choice_valid_binary,no_choice_flag,first_choice_nonbinary_flag,date,start_time,latency,num_changes,time_bright,mtpc,mov_bottom,mov_upper,mov_total,dist_bottom,dist_upper,dist_total,vel_bottom,vel_upper,vel_mean,attempts,last_flux,time_in_last_flux,resistance_index,lt,ls,wt,Kc,sex,blood_sugar,conductivity,pH,sex_raw,stratum_pref,ldt_present_flag,ntt_present_flag,endurance_present_flag,first_choice_exclusion_reason,blood_sugar_missing_flag,sex_missing_flag,ldt_time_bright_gt_480_flag,ldt_time_bright_gt_600_flag,ntt_mov_total_gt_480_flag,zero_motion_flag,low_motion_flag,impossible_value_flag,tracking_failure_flag,missing_critical_field_flag,distance_outlier_flag,manual_review_flag,global_exclusion_flag,global_exclusion_reason
310,3BT01h01001,3,BT3,01h_1.0,01h 1.0%,1.0,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,2.0,3.0,43.0,5.15,3.1,2.6,0.26,1.4792899408284024,male,101.0,,,m,,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,
311,3BT01h01002,3,BT3,01h_1.0,01h 1.0%,1.0,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,2.0,6.0,30.0,18.0,3.8,3.1,0.58,1.9468967137726154,female,204.0,,,f,,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,
312,3BT01h01003,3,BT3,01h_1.0,01h 1.0%,1.0,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,4.0,5.0,18.0,11.5,3.2,2.6,0.31,1.7637687756030953,male,114.0,,,m,,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,
313,3BT01h01004,3,BT3,01h_1.0,01h 1.0%,1.0,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,1.0,3.0,50.0,5.5,3.5,2.9,0.36,1.4760752798392718,male,67.0,,,m,,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,
314,3BT01h01005,3,BT3,01h_1.0,01h 1.0%,1.0,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,1.0,6.0,8.0,15.8,3.8,3.0,0.58,2.148148148148148,female,,,,f,,False,False,True,,True,False,False,False,False,False,False,False,False,False,False,False,False,
315,3BT01h01006,3,BT3,01h_1.0,01h 1.0%,1.0,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,4.0,6.0,26.0,17.6,3.7,3.1,0.47,1.5776576818502228,,287.0,,,,,False,False,True,,False,True,False,False,False,False,False,False,False,False,False,False,False,
316,3BT01h01007,3,BT3,01h_1.0,01h 1.0%,1.0,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,5.0,1.0,9.0,0.15,3.1,2.5,0.2,1.28,male,,,,m,,False,False,True,,True,False,False,False,False,False,False,False,False,False,False,False,False,
317,3BT01h01008,3,BT3,01h_1.0,01h 1.0%,1.0,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,5.0,1.0,14.0,0.23333333333333334,3.5,2.5,0.31,1.984,male,147.0,,,m,,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,
318,3BT01h01009,3,BT3,01h_1.0,01h 1.0%,1.0,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,5.0,1.0,59.0,0.9833333333333333,3.1,2.6,0.31,1.7637687756030953,male,135.0,,,m,,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,
319,3BT01h01010,3,BT3,01h_1.0,01h 1.0%,1.0,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,5.0,1.0,14.0,0.23333333333333334,3.3,2.8,0.29,1.3210641399416911,female,132.0,,,f,,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,
