"source_row_index","fish_id","battery_suite","battery","group_raw","group","treatment","exposure","date_raw","start_time_raw","datetime_raw","datetime","datetime_parse_method","datetime_parse_failed_flag","first_choice_raw","first_choice","first_choice_clean","first_choice_binary","first_choice_valid_binary","no_choice_flag","first_choice_nonbinary_flag","date","start_time","latency","num_changes","time_bright","mtpc","mov_bottom","mov_upper","mov_total","dist_bottom","dist_upper","dist_total","vel_bottom","vel_upper","vel_mean","attempts","last_flux","time_in_last_flux","resistance_index","lt","ls","wt","Kc","sex","blood_sugar","conductivity","pH","sex_raw","stratum_pref","ldt_present_flag","ntt_present_flag","endurance_present_flag","first_choice_exclusion_reason","blood_sugar_missing_flag","sex_missing_flag","ldt_time_bright_gt_480_flag","ldt_time_bright_gt_600_flag","ntt_mov_total_gt_480_flag","zero_motion_flag","low_motion_flag","impossible_value_flag","tracking_failure_flag","missing_critical_field_flag","distance_outlier_flag","manual_review_flag","global_exclusion_flag","global_exclusion_reason"
306,"3BT01h00513",3,"BT3","01h_0.5","01h 0.5%",0.5,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,20,23.3333333333333,3.5,2.5,0.46,2.944,"female",NA,NA,NA,"f",NA,"False","False","True",NA,"True","False","False","False","False","False","False","False","False","False","False","False","False",NA
307,"3BT01h00514",3,"BT3","01h_0.5","01h 0.5%",0.5,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,28,7.86666666666667,3.4,2.5,0.4,2.56,"female",432,NA,NA,"f",NA,"False","False","True",NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",NA
308,"3BT01h00515",3,"BT3","01h_0.5","01h 0.5%",0.5,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,31,4.55,3.5,2.7,0.39,1.98140527358634,"male",NA,NA,NA,"m",NA,"False","False","True",NA,"True","False","False","False","False","False","False","False","False","False","False","False","False",NA
309,"3BT01h00516",3,"BT3","01h_0.5","01h 0.5%",0.5,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,35,18.5,3.4,2.6,0.58,3.29995448338644,"female",306,NA,NA,"f",NA,"False","False","True",NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",NA
310,"3BT01h01001",3,"BT3","01h_1.0","01h 1.0%",1,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,43,5.15,3.1,2.6,0.26,1.4792899408284,"male",101,NA,NA,"m",NA,"False","False","True",NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",NA
311,"3BT01h01002",3,"BT3","01h_1.0","01h 1.0%",1,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,30,18,3.8,3.1,0.58,1.94689671377262,"female",204,NA,NA,"f",NA,"False","False","True",NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",NA
312,"3BT01h01003",3,"BT3","01h_1.0","01h 1.0%",1,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,18,11.5,3.2,2.6,0.31,1.7637687756031,"male",114,NA,NA,"m",NA,"False","False","True",NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",NA
313,"3BT01h01004",3,"BT3","01h_1.0","01h 1.0%",1,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,50,5.5,3.5,2.9,0.36,1.47607527983927,"male",67,NA,NA,"m",NA,"False","False","True",NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",NA
314,"3BT01h01005",3,"BT3","01h_1.0","01h 1.0%",1,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,8,15.8,3.8,3,0.58,2.14814814814815,"female",NA,NA,NA,"f",NA,"False","False","True",NA,"True","False","False","False","False","False","False","False","False","False","False","False","False",NA
315,"3BT01h01006",3,"BT3","01h_1.0","01h 1.0%",1,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,26,17.6,3.7,3.1,0.47,1.57765768185022,"",287,NA,NA,"",NA,"False","False","True",NA,"False","True","False","False","False","False","False","False","False","False","False","False","False",NA
