"battery","variable","n_nonmissing","min","median","mean","sd","iqr","max","negative_n"
"BT2","time_bright",138,0,252,265.139855072464,145.799197123066,236.4875,480,0
"BT2","first_choice_binary",138,0,1,0.739130434782609,0.440708583823011,1,1,0
"BT2","latency",139,0,0,14.7553956834532,67.2296347836235,0,480,0
"BT2","mtpc",138,0,10.0188235294118,71.7578565691494,142.458186627945,32.0291792929293,480,0
"BT2","num_changes",138,0,17,20.0144927536232,18.8513143096357,25.5,125,0
"BT2","resistance_index",0,NA,NA,NA,NA,NA,NA,0
"BT2","attempts",0,NA,NA,NA,NA,NA,NA,0
"BT2","last_flux",0,NA,NA,NA,NA,NA,NA,0
"BT2","time_in_last_flux",0,NA,NA,NA,NA,NA,NA,0
"BT2","blood_sugar",37,36,129,163.945945945946,91.4958851369667,119,391,0
"BT2","Kc",137,0.964506172839506,1.875,1.88023097546024,0.460911187456556,0.428969796740656,5.83090379008746,0
"BT2","mov_bottom",139,0,206,198.920863309353,105.935998230009,132.5,431,0
"BT2","mov_upper",139,0,161,159.36690647482,113.17718210424,147,458,0
"BT2","dist_bottom",139,0,2750,2630.38323741007,1391.06646214762,1838.525,5628.4,0
"BT2","dist_upper",139,0,2537,2355.24079136691,1593.04064559811,2183.435,7406.93,0
"BT2","vel_bottom",139,0,12.7570621468927,12.9422574798403,5.40227457133334,4.69343331907293,33.0368098159509,0
"BT2","vel_upper",139,0,14.4708333333333,13.988453622537,7.15845118599748,7.28179314178832,32.5374887892377,0
"BT2","wt",137,0.11,0.23,0.240510948905109,0.0779830408399915,0.08,0.49,0
"BT2","lt",137,2.3,2.9,2.97226277372263,0.30767867286565,0.3,3.9,0
"BT2","ls",137,1.4,2.3,2.33722627737226,0.299019795545298,0.4,3.6,0
"BT2","conductivity",107,100,110,113.364485981308,6.72139995997645,10,120,0
"BT2","pH",107,7.2,7.5,7.4214953271028,0.148595968217213,0.3,7.6,0
"BT3","dist_total",0,NA,NA,NA,NA,NA,NA,0
"BT3","mov_total",0,NA,NA,NA,NA,NA,NA,0
"BT3","vel_mean",0,NA,NA,NA,NA,NA,NA,0
"BT3","stratum_pref",0,NA,NA,NA,NA,NA,NA,0
"BT3","time_bright",0,NA,NA,NA,NA,NA,NA,0
"BT3","first_choice_binary",0,NA,NA,NA,NA,NA,NA,0
"BT3","latency",0,NA,NA,NA,NA,NA,NA,0
"BT3","mtpc",0,NA,NA,NA,NA,NA,NA,0
"BT3","num_changes",0,NA,NA,NA,NA,NA,NA,0
"BT3","resistance_index",135,0.15,14.5833333333333,15.1275308641975,12.9782201017236,16.1416666666667,70.4,0
"BT3","attempts",135,1,1,1.86666666666667,1.32597471892336,1,5,0
"BT3","last_flux",135,1,5,5.01481481481482,2.44028743470067,4,12,0
"BT3","time_in_last_flux",135,0,24,25.7777777777778,15.6437325520224,26,59,0
"BT3","blood_sugar",73,37,122,154.575342465753,97.7893026710743,88,432,0
"BT3","Kc",135,0.578703703703704,1.472,1.52977713115017,0.392001579094338,0.36528002406522,3.29995448338644,0
"BT3","mov_bottom",0,NA,NA,NA,NA,NA,NA,0
"BT3","mov_upper",0,NA,NA,NA,NA,NA,NA,0
"BT3","dist_bottom",0,NA,NA,NA,NA,NA,NA,0
"BT3","dist_upper",0,NA,NA,NA,NA,NA,NA,0
"BT3","vel_bottom",0,NA,NA,NA,NA,NA,NA,0
"BT3","vel_upper",0,NA,NA,NA,NA,NA,NA,0
"BT3","wt",135,0.1,0.28,0.293703703703704,0.112778615131399,0.135,0.7,0
"BT3","lt",135,2.5,3.3,3.30592592592593,0.306341669305175,0.4,4.3,0
"BT3","ls",135,1.9,2.6,2.65481481481481,0.263930824982415,0.3,3.6,0
"BT3","conductivity",0,NA,NA,NA,NA,NA,NA,0
"BT3","pH",0,NA,NA,NA,NA,NA,NA,0
