"battery","treatment","exposure","variable","resolved_variable","n_nonmissing","n_zero","prop_zero"
"BT2","0","24h","mtpc","mtpc",16,1,0.0625
"BT3","0","24h","mtpc","mtpc",0,0,NA
"BT1","0.5","24h","mtpc","mtpc",15,0,0
"BT2","0.5","24h","mtpc","mtpc",15,3,0.2
"BT3","0.5","24h","mtpc","mtpc",0,0,NA
"BT1","1","24h","mtpc","mtpc",14,0,0
"BT2","1","24h","mtpc","mtpc",12,0,0
"BT3","1","24h","mtpc","mtpc",0,0,NA
"BT1","0","96h","mtpc","mtpc",16,1,0.0625
"BT2","0","96h","mtpc","mtpc",16,0,0
"BT3","0","96h","mtpc","mtpc",0,0,NA
"BT1","0.5","96h","mtpc","mtpc",16,0,0
"BT2","0.5","96h","mtpc","mtpc",16,0,0
"BT3","0.5","96h","mtpc","mtpc",0,0,NA
"BT1","1","96h","mtpc","mtpc",14,0,0
"BT2","1","96h","mtpc","mtpc",15,0,0
"BT3","1","96h","mtpc","mtpc",0,0,NA
"BT1","0","1h","num_changes","num_changes",14,1,0.0714285714285714
"BT2","0","1h","num_changes","num_changes",16,1,0.0625
"BT3","0","1h","num_changes","num_changes",0,0,NA
"BT1","0.5","1h","num_changes","num_changes",16,3,0.1875
"BT2","0.5","1h","num_changes","num_changes",16,3,0.1875
"BT3","0.5","1h","num_changes","num_changes",0,0,NA
"BT1","1","1h","num_changes","num_changes",16,2,0.125
"BT2","1","1h","num_changes","num_changes",16,3,0.1875
"BT3","1","1h","num_changes","num_changes",0,0,NA
"BT1","0","24h","num_changes","num_changes",15,0,0
"BT2","0","24h","num_changes","num_changes",16,3,0.1875
"BT3","0","24h","num_changes","num_changes",0,0,NA
"BT1","0.5","24h","num_changes","num_changes",15,2,0.133333333333333
"BT2","0.5","24h","num_changes","num_changes",15,5,0.333333333333333
"BT3","0.5","24h","num_changes","num_changes",0,0,NA
"BT1","1","24h","num_changes","num_changes",14,0,0
"BT2","1","24h","num_changes","num_changes",12,1,0.0833333333333333
"BT3","1","24h","num_changes","num_changes",0,0,NA
"BT1","0","96h","num_changes","num_changes",16,1,0.0625
"BT2","0","96h","num_changes","num_changes",16,0,0
"BT3","0","96h","num_changes","num_changes",0,0,NA
"BT1","0.5","96h","num_changes","num_changes",16,0,0
"BT2","0.5","96h","num_changes","num_changes",16,1,0.0625
"BT3","0.5","96h","num_changes","num_changes",0,0,NA
"BT1","1","96h","num_changes","num_changes",14,3,0.214285714285714
"BT2","1","96h","num_changes","num_changes",15,5,0.333333333333333
"BT3","1","96h","num_changes","num_changes",0,0,NA
"BT1","0","1h","time_bright","time_bright",14,1,0.0714285714285714
"BT2","0","1h","time_bright","time_bright",16,0,0
"BT3","0","1h","time_bright","time_bright",0,0,NA
"BT1","0.5","1h","time_bright","time_bright",16,3,0.1875
"BT2","0.5","1h","time_bright","time_bright",16,2,0.125
"BT3","0.5","1h","time_bright","time_bright",0,0,NA
"BT1","1","1h","time_bright","time_bright",16,2,0.125
"BT2","1","1h","time_bright","time_bright",16,1,0.0625
"BT3","1","1h","time_bright","time_bright",0,0,NA
"BT1","0","24h","time_bright","time_bright",15,0,0
"BT2","0","24h","time_bright","time_bright",16,1,0.0625
"BT3","0","24h","time_bright","time_bright",0,0,NA
"BT1","0.5","24h","time_bright","time_bright",15,0,0
"BT2","0.5","24h","time_bright","time_bright",15,3,0.2
"BT3","0.5","24h","time_bright","time_bright",0,0,NA
"BT1","1","24h","time_bright","time_bright",14,0,0
"BT2","1","24h","time_bright","time_bright",12,0,0
"BT3","1","24h","time_bright","time_bright",0,0,NA
"BT1","0","96h","time_bright","time_bright",16,1,0.0625
"BT2","0","96h","time_bright","time_bright",16,0,0
"BT3","0","96h","time_bright","time_bright",0,0,NA
"BT1","0.5","96h","time_bright","time_bright",16,0,0
"BT2","0.5","96h","time_bright","time_bright",16,0,0
"BT3","0.5","96h","time_bright","time_bright",0,0,NA
"BT1","1","96h","time_bright","time_bright",14,0,0
