"battery","treatment","exposure","variable","resolved_variable","n","shapiro_w","shapiro_p","note"
"BT2","0","24h","last_flux","last_flux",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","0","24h","last_flux","last_flux",15,0.979119802691144,0.963140841854321,"Shapiro-Wilk run."
"BT1","0.5","24h","last_flux","last_flux",15,0.638049775187565,5.81896000777689e-05,"Shapiro-Wilk run."
"BT2","0.5","24h","last_flux","last_flux",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","0.5","24h","last_flux","last_flux",14,0.802310613717833,0.00533096417594705,"Shapiro-Wilk run."
"BT1","1","24h","last_flux","last_flux",14,0.829537969820219,0.0118531894012379,"Shapiro-Wilk run."
"BT2","1","24h","last_flux","last_flux",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","1","24h","last_flux","last_flux",12,0.956219779985663,0.72881854448306,"Shapiro-Wilk run."
"BT1","0","96h","last_flux","last_flux",16,0.886734551196721,0.0494707377443254,"Shapiro-Wilk run."
"BT2","0","96h","last_flux","last_flux",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","0","96h","last_flux","last_flux",16,0.830942932605438,0.00723273276806866,"Shapiro-Wilk run."
"BT1","0.5","96h","last_flux","last_flux",16,0.848560777412131,0.0129768201658573,"Shapiro-Wilk run."
"BT2","0.5","96h","last_flux","last_flux",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","0.5","96h","last_flux","last_flux",16,0.8985167858738,0.0760948979767211,"Shapiro-Wilk run."
"BT1","1","96h","last_flux","last_flux",14,0.809892227568865,0.0066320294120322,"Shapiro-Wilk run."
"BT2","1","96h","last_flux","last_flux",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","1","96h","last_flux","last_flux",15,0.907834396604695,0.125442313097676,"Shapiro-Wilk run."
"BT1","0","1h","latency","latency",14,0.433181868538332,1.85213700343214e-06,"Shapiro-Wilk run."
"BT2","0","1h","latency","latency",16,NA,NA,"Fewer than 3 unique values; Shapiro-Wilk not meaningful."
"BT3","0","1h","latency","latency",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0.5","1h","latency","latency",16,0.559620661114064,6.89752867301366e-06,"Shapiro-Wilk run."
"BT2","0.5","1h","latency","latency",16,0.335002534230302,1.19762961394707e-07,"Shapiro-Wilk run."
"BT3","0.5","1h","latency","latency",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","1","1h","latency","latency",16,0.544815853288094,5.10273806662235e-06,"Shapiro-Wilk run."
"BT2","1","1h","latency","latency",16,0.293284359845264,6.23178388355535e-08,"Shapiro-Wilk run."
"BT3","1","1h","latency","latency",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0","24h","latency","latency",15,0.358360445992592,3.08303334122976e-07,"Shapiro-Wilk run."
"BT2","0","24h","latency","latency",16,NA,NA,"Fewer than 3 unique values; Shapiro-Wilk not meaningful."
"BT3","0","24h","latency","latency",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0.5","24h","latency","latency",15,0.542129307902968,7.85237439388771e-06,"Shapiro-Wilk run."
"BT2","0.5","24h","latency","latency",15,0.318993759929137,1.66531362705887e-07,"Shapiro-Wilk run."
"BT3","0.5","24h","latency","latency",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","1","24h","latency","latency",14,0.591151001880406,3.38603698463635e-05,"Shapiro-Wilk run."
"BT2","1","24h","latency","latency",12,0.371806042617839,2.31640847609292e-06,"Shapiro-Wilk run."
"BT3","1","24h","latency","latency",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0","96h","latency","latency",16,0.456777582072573,9.49102392252633e-07,"Shapiro-Wilk run."
"BT2","0","96h","latency","latency",16,0.516585575556148,2.91740121231574e-06,"Shapiro-Wilk run."
"BT3","0","96h","latency","latency",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0.5","96h","latency","latency",16,0.295909744212755,6.48848386029135e-08,"Shapiro-Wilk run."
